id_chamada,tipo_pedido,horario,distancia,demanda,preco,metodo_pagamento,avaliacao_motorista,avaliacao_passageiro
7255585,Uber Flash,2023-09-29T07:02:37,11.57,1.6,33.48,Cartão,2,2
7455951,UberX,2023-01-21T03:38:08,23.29,2.4,83.73,Cartão,,2
6556983,Uber Flash,2023-12-20T15:47:42,14.76,0.8,17.86,Pix,2,
8477026,Uber Select,2023-07-28T10:57:22,17.34,1.0,29.44,Dinheiro,1,1
6474953,UberX,2023-12-09T05:51:04,28.51,1.3,52.89,Pix,5,3
7184916,UberX,2023-11-26T00:58:56,13.36,1.7,37.51,Dinheiro,4,
4459640,Uber Moto,2023-01-16T02:46:35,10.44,1.0,17.46,Dinheiro,5,5
2540312,Uber Select,2023-09-08T22:17:14,5.45,0.9,9.74,Dinheiro,2,2
3036998,Uber Moto,2023-08-25T14:15:57,18.32,0.8,22.56,Dinheiro,4,5
5973635,Uber Comfort,2023-08-21T12:55:03,23.21,0.9,31.77,Dinheiro,,3
8447014,Uber Comfort,2023-06-08T16:25:29,24.5,1.1,38.5,Pix,3,
3845149,UberX,2023-10-21T15:55:01,23.24,1.5,51.91,Pix,5,3
1025866,Uber Select,2023-08-09T06:55:42,10.2,1.2,19.47,Pix,2,3
2096117,Uber Select,2023-11-29T14:51:00,7.41,1.1,15.79,Cartão,1,
8052055,Uber Comfort,2023-10-13T14:14:42,14.21,1.2,27.93,Cartão,3,3
3364780,Uber Select,2023-03-11T10:59:14,15.71,1.6,37.01,Cartão,2,1
7984819,UberX,2023-09-13T09:11:34,1.74,1.4,5.94,Cartão,5,2
4131808,Uber Select,2023-03-28T01:20:03,23.53,0.9,35.22,Cartão,2,5
8836090,Uber Flash,2023-03-12T19:58:13,5.82,1.8,18.45,Dinheiro,2,1
2656431,UberX,2023-03-12T14:19:14,7.36,1.6,21.02,Pix,,
4955142,Uber Flash,2023-10-15T21:01:40,3.14,1.9,14.02,Cartão,4,5
2652681,UberX,2023-07-24T21:28:34,20.53,1.1,39.31,Pix,,
6743087,UberX,2023-02-24T02:06:07,27.63,1.0,42.48,Dinheiro,5,5
9918682,Uber Flash,2023-02-08T01:40:52,12.41,1.2,25.05,Cartão,5,4
5837880,Uber Flash,2023-08-22T23:39:42,7.01,1.2,16.23,Cartão,5,
3819303,Uber Moto,2023-02-26T15:57:27,6.59,1.8,19.98,Cartão,,1
6519047,Uber Moto,2023-03-06T16:57:13,3.02,1.1,7.59,Cartão,1,4
6613709,Uber Select,2023-12-15T19:17:02,13.69,2.1,43.61,Pix,,4
4854618,UberX,2023-06-25T05:20:38,29.15,1.8,79.77,Dinheiro,5,
4010462,UberX,2023-05-08T05:38:07,18.31,0.9,26.17,Dinheiro,1,5
1192332,Uber Moto,2023-06-08T16:10:56,9.96,0.8,12.35,Pix,3,1
8471124,Uber Flash,2023-12-26T13:13:11,8.28,1.0,14.43,Dinheiro,4,2
6605202,Uber Moto,2023-04-05T01:25:22,29.03,0.9,39.76,Pix,5,2
3111597,Uber Comfort,2023-01-10T22:16:53,14.88,1.0,22.99,Dinheiro,,2
5334819,Uber Select,2023-09-04T11:09:21,12.12,1.0,20.57,Cartão,5,4
5035496,Uber Comfort,2023-09-28T06:50:59,28.83,1.0,47.75,Cartão,3,
1236210,Uber Flash,2023-03-27T21:25:09,26.05,1.1,47.58,Dinheiro,5,3
3227458,UberX,2023-06-15T12:16:26,2.96,0.9,6.07,Pix,,4
6014444,Uber Moto,2023-11-11T07:29:03,29.87,1.3,63.66,Dinheiro,4,
4715989,Uber Flash,2023-02-21T22:17:26,2.01,1.1,5.29,Cartão,1,4
6283130,Uber Flash,2023-05-15T18:15:29,6.22,1.6,17.6,Dinheiro,1,
9608709,UberX,2023-10-07T11:04:11,22.74,1.3,49.48,Dinheiro,2,5
1504992,Uber Comfort,2023-08-28T12:34:05,28.56,0.9,39.17,Cartão,5,4
2823131,Uber Moto,2023-12-12T00:05:41,16.1,0.8,21.34,Cartão,,
3160633,Uber Select,2023-05-19T03:49:39,9.72,0.8,14.13,Cartão,5,2
7190177,UberX,2023-07-10T11:44:09,23.69,0.9,32.09,Cartão,5,
7321369,Uber Flash,2023-11-08T23:42:50,14.36,1.2,28.22,Cartão,1,5
5238806,Uber Flash,2023-02-22T12:57:24,15.82,1.0,24.14,Pix,,1
6751123,Uber Comfort,2023-06-12T18:21:08,9.44,1.8,29.31,Dinheiro,1,4
1762879,UberX,2023-01-18T12:56:43,10.07,1.1,17.39,Pix,2,5
2616707,Uber Comfort,2023-07-02T03:04:42,20.68,1.9,62.47,Dinheiro,2,2
4970350,Uber Select,2023-09-02T17:28:30,1.47,1.8,7.4,Cartão,1,4
8044805,UberX,2023-08-23T03:52:09,24.58,0.9,31.57,Dinheiro,5,
6531654,UberX,2023-12-27T15:37:37,18.74,0.9,28.74,Dinheiro,2,
1590231,UberX,2023-09-26T20:32:07,23.94,1.2,49.37,Dinheiro,4,2
6522075,Uber Flash,2023-02-02T02:09:18,8.47,1.0,16.07,Pix,4,3
8273747,UberX,2023-02-24T18:20:29,28.98,2.0,99.36,Pix,2,5
1816096,Uber Flash,2023-11-27T00:04:10,12.41,0.8,16.78,Dinheiro,3,2
7706225,Uber Flash,2023-10-06T04:23:51,17.72,0.9,24.25,Dinheiro,5,1
9395161,Uber Moto,2023-05-26T12:48:55,21.41,1.0,35.3,Pix,3,1
2526934,Uber Comfort,2023-08-28T03:26:04,21.25,1.0,32.65,Dinheiro,,
8413184,UberX,2023-03-10T15:05:43,11.21,1.0,20.64,Cartão,4,1
3021386,Uber Flash,2023-08-04T03:03:11,9.64,0.9,15.69,Dinheiro,4,5
9239536,UberX,2023-08-30T16:44:08,23.22,0.8,31.44,Pix,4,5
8255297,UberX,2023-01-15T16:52:54,20.52,1.5,52.78,Pix,1,5
2331400,UberX,2023-04-24T03:56:31,25.54,1.2,47.48,Pix,2,5
5887632,UberX,2023-07-02T12:38:44,29.84,2.2,93.2,Dinheiro,4,5
1710183,Uber Select,2023-07-30T16:21:15,11.66,1.9,36.12,Pix,3,4
8369684,UberX,2023-11-10T06:14:05,25.81,0.8,31.33,Pix,1,2
9548201,Uber Comfort,2023-08-05T20:15:42,19.34,2.1,62.0,Pix,4,3
6894058,UberX,2023-09-17T10:36:59,29.95,2.3,105.35,Pix,,1
2858574,Uber Flash,2023-10-19T18:16:25,24.55,2.3,97.26,Pix,,5
5166079,UberX,2023-10-03T01:21:21,10.88,1.0,17.34,Cartão,4,2
7877666,Uber Select,2023-01-13T14:00:29,17.29,1.1,29.43,Cartão,2,
7807293,Uber Moto,2023-09-07T22:56:29,29.73,0.9,44.75,Pix,4,2
7184292,Uber Select,2023-11-22T02:33:46,19.37,1.0,33.06,Dinheiro,4,5
4140836,Uber Comfort,2023-09-13T04:21:50,4.25,0.9,8.03,Cartão,1,5
9976718,Uber Select,2023-12-22T07:53:05,7.0,2.3,28.2,Dinheiro,3,4
4534275,Uber Flash,2023-12-22T11:12:27,21.37,0.9,32.27,Pix,4,4
7140827,Uber Select,2023-03-12T23:33:50,13.99,2.1,49.98,Pix,2,3
3110918,Uber Comfort,2023-08-21T20:11:08,20.25,1.1,36.28,Pix,1,4
4305328,Uber Moto,2023-05-07T16:10:25,5.28,1.7,17.38,Pix,5,5
6033799,Uber Moto,2023-08-27T21:01:48,26.39,1.8,71.51,Cartão,1,3
6987303,Uber Flash,2023-04-20T02:53:58,4.44,1.0,9.17,Pix,1,2
3140167,UberX,2023-04-06T19:21:17,27.53,2.2,93.39,Dinheiro,3,5
7084941,UberX,2023-11-14T06:58:06,10.34,1.0,17.35,Dinheiro,4,
9269876,Uber Moto,2023-12-10T18:30:54,2.23,2.4,14.01,Dinheiro,1,1
5939597,Uber Flash,2023-01-02T07:49:17,1.05,1.5,5.11,Dinheiro,5,4
9794563,UberX,2023-02-25T16:57:57,2.69,2.5,13.63,Dinheiro,4,
5989021,Uber Select,2023-12-09T04:51:46,9.48,1.3,22.17,Pix,,2
2448032,UberX,2023-03-08T17:35:53,15.26,1.7,42.88,Pix,4,4
7502934,Uber Comfort,2023-05-06T02:23:12,11.59,1.3,23.6,Dinheiro,5,5
6948831,Uber Select,2023-11-26T06:18:12,15.34,1.8,47.96,Cartão,,
6138162,Uber Moto,2023-08-13T20:13:48,8.32,2.3,34.64,Pix,3,1
4755668,UberX,2023-01-25T15:39:29,29.99,1.0,51.37,Pix,4,5
7693136,Uber Select,2023-10-14T11:08:24,23.27,2.5,91.0,Dinheiro,2,3
1120745,Uber Flash,2023-10-09T06:45:01,18.01,0.8,21.96,Dinheiro,,2
6489218,Uber Moto,2023-06-21T12:55:48,4.39,1.0,7.74,Pix,2,
4266158,Uber Moto,2023-08-18T15:07:43,13.47,0.8,18.08,Cartão,,2
1396167,Uber Moto,2023-06-16T03:47:24,12.75,0.9,18.53,Pix,2,5
7562595,Uber Moto,2023-02-25T08:15:17,24.52,2.2,77.83,Dinheiro,,5
1798857,Uber Moto,2023-04-14T21:38:57,12.23,1.0,19.02,Pix,4,3
1880759,Uber Flash,2023-09-09T23:41:49,7.32,1.4,18.13,Cartão,1,4
5952704,UberX,2023-06-04T21:55:46,28.3,1.3,57.75,Dinheiro,3,3
7207553,UberX,2023-10-03T03:54:44,19.96,0.9,29.99,Pix,3,1
7398704,UberX,2023-10-30T05:15:42,12.77,1.0,21.71,Dinheiro,2,4
7569613,Uber Comfort,2023-12-18T10:36:29,27.51,1.1,47.0,Dinheiro,4,2
2202234,Uber Moto,2023-08-20T01:39:05,28.67,2.2,92.28,Dinheiro,,5
8877384,Uber Comfort,2023-01-22T18:05:59,19.65,2.4,69.38,Cartão,1,5
7827056,Uber Comfort,2023-08-05T15:03:57,1.2,1.7,6.55,Dinheiro,5,2
8313876,Uber Comfort,2023-05-21T20:07:45,2.62,2.1,12.79,Cartão,,1
7284514,Uber Comfort,2023-10-30T13:50:19,20.62,1.2,38.3,Pix,2,
2348095,Uber Flash,2023-09-28T10:16:44,1.07,1.0,3.76,Pix,1,3
5649789,Uber Flash,2023-08-23T11:36:47,11.12,1.1,21.37,Dinheiro,5,2
1445489,Uber Select,2023-01-28T09:09:19,2.65,2.4,15.41,Cartão,1,2
5135824,Uber Moto,2023-02-11T03:28:57,17.22,2.5,68.06,Dinheiro,3,2
4182383,Uber Moto,2023-08-10T04:25:04,10.25,0.8,13.37,Pix,4,1
6208189,Uber Comfort,2023-05-06T10:23:04,17.06,1.5,38.88,Cartão,2,4
7760719,Uber Select,2023-11-01T06:55:43,15.52,1.1,27.51,Pix,1,4
8897735,UberX,2023-03-21T10:14:18,7.82,0.9,11.45,Cartão,,2
5557156,Uber Comfort,2023-03-09T19:56:36,18.57,1.8,49.83,Cartão,3,3
9800929,UberX,2023-10-11T10:54:28,12.54,1.0,21.57,Pix,5,4
6924835,Uber Comfort,2023-08-12T18:10:02,5.67,2.1,24.0,Pix,1,2
4732284,UberX,2023-04-02T05:45:11,8.73,1.3,21.16,Cartão,4,2
9607414,Uber Comfort,2023-07-07T22:40:57,13.66,1.0,23.32,Cartão,,1
6137038,Uber Select,2023-04-21T21:01:21,19.74,1.0,33.77,Pix,3,1
3980132,Uber Moto,2023-09-11T12:22:47,16.02,1.1,30.62,Cartão,5,1
9318944,Uber Flash,2023-05-19T22:10:38,18.48,1.1,35.15,Dinheiro,4,5
8514171,Uber Select,2023-07-30T00:50:18,14.79,2.4,63.04,Cartão,5,
3555523,Uber Flash,2023-03-23T07:36:38,16.03,2.4,60.74,Pix,5,
6822766,Uber Select,2023-03-14T22:51:32,7.71,0.9,12.82,Cartão,5,3
1858439,Uber Flash,2023-02-23T17:19:29,21.61,1.4,52.83,Dinheiro,2,4
6395445,Uber Moto,2023-02-15T12:05:46,17.39,0.9,23.78,Dinheiro,3,2
7906627,Uber Comfort,2023-09-08T22:44:03,5.56,0.9,9.02,Cartão,3,5
3458044,Uber Select,2023-10-28T09:14:46,26.36,2.2,99.79,Pix,5,5
2304774,Uber Select,2023-01-20T14:48:59,8.82,1.1,18.36,Pix,4,1
8198998,Uber Comfort,2023-12-15T14:21:11,24.4,0.8,30.71,Pix,2,3
6872390,UberX,2023-08-04T00:41:37,8.56,1.1,17.76,Cartão,2,
9804384,Uber Moto,2023-08-14T23:58:10,24.1,1.0,35.04,Pix,2,
2603234,Uber Select,2023-10-13T23:46:01,6.29,0.9,10.81,Pix,1,
6985901,UberX,2023-07-31T19:31:13,16.02,1.9,52.32,Pix,2,4
3325406,Uber Comfort,2023-10-20T15:01:32,3.6,1.1,7.6,Cartão,1,3
1772822,UberX,2023-09-06T16:43:37,1.56,1.2,4.97,Cartão,,1
2910529,Uber Comfort,2023-03-20T10:35:00,20.28,1.1,36.65,Pix,5,1
3239257,Uber Select,2023-04-14T05:40:10,7.08,0.8,10.32,Cartão,4,2
9476192,Uber Select,2023-04-06T15:33:17,19.45,1.0,31.07,Pix,5,1
8153618,Uber Comfort,2023-06-06T17:13:10,12.92,2.4,49.69,Dinheiro,3,1
8871456,Uber Flash,2023-12-23T23:02:08,10.94,2.3,40.57,Pix,3,3
5785811,Uber Moto,2023-04-18T03:03:43,17.28,1.0,25.86,Pix,2,1
8725332,UberX,2023-09-23T14:41:05,13.84,1.7,36.86,Dinheiro,1,4
7127409,Uber Select,2023-07-24T00:36:17,26.71,1.1,44.29,Dinheiro,3,2
7976811,Uber Flash,2023-02-01T10:01:26,6.76,1.0,11.35,Cartão,2,4
3379405,Uber Comfort,2023-07-09T10:33:35,1.47,2.4,9.46,Cartão,1,
3094183,Uber Select,2023-10-24T02:18:19,22.68,0.9,33.21,Dinheiro,2,1
5857951,Uber Flash,2023-02-20T12:00:17,29.41,0.8,33.6,Cartão,,3
3390708,Uber Moto,2023-01-29T03:21:21,29.95,2.3,110.37,Dinheiro,4,
6872132,Uber Select,2023-04-04T01:27:25,7.64,1.2,14.89,Cartão,3,3
1000005,Uber Moto,2023-01-05T03:16:37,8.23,1.2,16.94,Pix,5,1
8273397,Uber Comfort,2023-04-30T18:51:02,7.73,1.5,19.78,Dinheiro,3,3
4031684,Uber Moto,2023-03-06T16:30:51,16.01,0.9,23.05,Cartão,2,4
8846316,Uber Select,2023-07-26T09:44:43,1.46,1.9,7.32,Pix,,
3699113,UberX,2023-08-06T16:22:43,21.38,1.9,60.67,Pix,2,
4669185,Uber Select,2023-06-27T02:42:16,20.36,1.0,34.63,Cartão,4,2
4310017,Uber Comfort,2023-02-20T05:11:37,26.25,1.2,45.84,Pix,,1
1104540,Uber Moto,2023-08-08T22:12:23,23.41,1.0,37.42,Cartão,1,
2498565,UberX,2023-10-06T14:47:20,9.68,1.1,16.58,Pix,2,1
9834576,Uber Select,2023-08-02T20:53:50,28.52,1.0,44.22,Pix,2,3
4133865,Uber Comfort,2023-07-31T19:19:42,6.96,2.0,24.06,Pix,2,1
4126383,Uber Flash,2023-05-03T08:05:09,5.82,1.4,13.99,Dinheiro,,
1423123,Uber Flash,2023-12-24T21:01:00,23.14,1.5,57.44,Cartão,4,2
4794826,Uber Select,2023-08-09T10:02:03,12.53,0.9,18.25,Dinheiro,3,5
4626907,Uber Flash,2023-10-10T21:55:21,11.47,1.2,21.8,Cartão,5,3
4353252,Uber Select,2023-07-12T08:38:23,11.46,1.3,22.92,Cartão,1,1
5456132,Uber Flash,2023-12-18T00:31:21,24.34,1.2,46.06,Cartão,4,1
5257581,UberX,2023-04-22T16:42:27,9.88,2.1,33.71,Dinheiro,2,1
9276823,Uber Flash,2023-11-10T20:05:41,3.5,1.1,7.69,Pix,3,5
5205759,Uber Comfort,2023-06-29T08:00:43,11.12,2.1,39.12,Pix,5,4
9006958,Uber Select,2023-07-10T02:42:16,22.91,0.9,30.89,Cartão,5,5
1553381,Uber Moto,2023-09-07T04:57:55,14.73,0.9,21.55,Dinheiro,5,2
5827773,UberX,2023-02-27T20:31:38,24.78,1.0,35.57,Dinheiro,5,3
7506732,UberX,2023-07-26T20:53:02,4.77,1.1,10.42,Pix,,2
6470930,UberX,2023-08-07T21:56:12,5.15,0.9,9.11,Pix,4,
6484057,UberX,2023-06-15T07:45:05,13.48,1.9,38.29,Pix,2,5
6113901,Uber Flash,2023-01-05T13:40:47,17.7,1.1,32.43,Cartão,3,2
3044694,UberX,2023-02-18T04:37:17,22.54,1.8,65.66,Dinheiro,,3
6232551,Uber Select,2023-01-30T04:11:54,22.71,1.0,35.04,Cartão,1,4
5591101,Uber Select,2023-01-19T09:56:11,15.18,1.4,33.77,Dinheiro,2,
8261192,Uber Flash,2023-01-01T21:48:22,7.18,2.1,26.49,Cartão,3,2
1886315,Uber Moto,2023-12-24T00:32:00,11.87,1.7,30.43,Cartão,1,
3959524,Uber Select,2023-04-11T01:05:11,28.91,0.8,36.47,Pix,2,4
7905165,Uber Comfort,2023-09-30T15:01:20,4.59,2.4,20.92,Cartão,1,
6789564,UberX,2023-12-29T02:44:16,26.25,0.9,35.03,Pix,5,4
3185049,Uber Moto,2023-08-22T01:41:15,17.82,1.0,29.49,Pix,,2
4406363,Uber Comfort,2023-10-23T11:53:00,9.75,0.9,14.1,Pix,4,1
9853350,Uber Comfort,2023-12-25T12:10:37,24.44,1.1,41.98,Dinheiro,4,1
9060064,Uber Flash,2023-03-06T17:03:38,11.87,2.0,40.12,Cartão,5,1
6329536,Uber Select,2023-08-13T09:33:46,16.75,2.1,59.12,Cartão,4,1
8359579,Uber Flash,2023-12-03T13:37:08,10.17,2.2,36.73,Dinheiro,3,2
3332871,UberX,2023-01-01T11:23:42,16.4,1.6,41.99,Pix,1,4
8225618,Uber Flash,2023-07-13T00:43:06,13.58,1.2,28.18,Cartão,4,3
1193446,Uber Moto,2023-02-17T00:27:55,5.12,1.0,9.94,Dinheiro,3,4
1249994,Uber Select,2023-06-25T18:10:07,1.62,1.7,7.32,Cartão,3,3
4924792,Uber Flash,2023-10-04T01:59:26,20.04,0.9,31.35,Pix,2,
1815843,Uber Comfort,2023-10-05T06:25:58,19.16,1.0,28.56,Dinheiro,3,4
7656862,UberX,2023-10-06T14:30:56,3.6,1.0,7.47,Pix,5,
1624277,Uber Comfort,2023-07-11T23:57:44,4.41,1.0,8.8,Cartão,1,
1458212,UberX,2023-06-07T19:59:57,1.15,2.1,8.39,Cartão,5,4
7715311,Uber Moto,2023-05-10T08:22:07,12.93,1.6,32.28,Pix,,2
2250395,Uber Select,2023-12-02T20:17:45,1.34,1.4,5.76,Pix,,2
8895701,Uber Comfort,2023-01-15T17:58:55,2.08,2.3,11.67,Pix,4,1
6500741,Uber Comfort,2023-10-16T22:55:35,4.15,1.0,7.8,Dinheiro,3,4
8287712,Uber Flash,2023-10-19T16:57:03,10.27,1.2,21.76,Pix,2,
4104984,Uber Comfort,2023-09-09T19:15:10,18.78,1.3,36.52,Cartão,1,4
2596135,Uber Comfort,2023-04-21T18:26:10,15.59,2.1,49.35,Cartão,1,2
5334068,UberX,2023-02-09T18:53:52,6.22,2.2,26.43,Dinheiro,2,4
9579496,Uber Flash,2023-08-15T16:47:35,15.76,1.2,29.32,Dinheiro,2,3
4283714,Uber Flash,2023-02-10T22:14:24,27.98,1.0,44.1,Dinheiro,1,5
7899028,Uber Flash,2023-12-16T19:18:43,16.46,1.4,39.99,Dinheiro,4,2
8336918,Uber Moto,2023-10-06T00:46:03,24.89,1.1,45.77,Pix,3,4
5668733,UberX,2023-07-10T14:02:49,9.2,1.0,15.15,Cartão,,2
4658576,Uber Select,2023-07-17T03:16:29,13.82,0.9,18.61,Pix,3,
8224507,Uber Select,2023-11-28T23:11:55,23.68,1.0,35.39,Pix,2,3
9007409,UberX,2023-10-19T10:58:30,5.52,0.8,7.45,Dinheiro,,3
5789260,Uber Select,2023-07-07T15:32:18,27.52,1.2,52.96,Cartão,2,1
6013148,Uber Comfort,2023-02-15T01:43:33,18.34,1.0,30.79,Pix,5,2
3962692,Uber Flash,2023-07-07T18:41:40,7.66,2.4,31.61,Pix,5,5
4892589,Uber Flash,2023-08-07T06:06:38,1.93,1.0,4.76,Dinheiro,4,1
9154873,Uber Select,2023-09-03T16:49:40,5.87,1.7,18.45,Pix,,3
5921401,Uber Select,2023-05-24T15:44:45,12.16,0.9,18.48,Pix,,4
4625715,Uber Comfort,2023-10-06T02:49:06,13.91,1.1,27.12,Cartão,3,
6937423,UberX,2023-10-14T07:03:57,11.53,2.4,48.93,Dinheiro,3,2
6572760,UberX,2023-06-28T18:55:31,25.46,1.6,59.46,Pix,5,
7986234,Uber Moto,2023-03-16T01:47:38,8.36,1.0,14.13,Cartão,3,3
8180749,Uber Select,2023-02-26T21:59:33,20.83,1.9,65.78,Cartão,2,1
1614497,Uber Select,2023-04-23T15:05:38,10.39,2.0,36.21,Dinheiro,4,1
9758861,UberX,2023-04-17T03:59:46,22.62,0.9,29.57,Dinheiro,1,4
3218311,Uber Moto,2023-07-08T03:28:40,18.1,2.0,60.15,Dinheiro,1,4
8636542,Uber Select,2023-08-19T01:01:09,5.68,2.0,19.67,Pix,3,2
2297438,UberX,2023-01-23T20:44:40,3.95,1.0,7.63,Pix,5,1
1844230,Uber Moto,2023-09-08T12:54:21,26.14,0.8,30.94,Pix,2,
1908854,Uber Select,2023-06-27T12:26:30,26.48,1.0,44.16,Dinheiro,,1
3494102,Uber Comfort,2023-10-08T10:55:29,19.05,2.1,58.0,Pix,1,3
9186344,Uber Comfort,2023-01-13T20:00:50,29.68,1.1,54.13,Cartão,,2
1125767,Uber Select,2023-11-29T10:27:25,8.55,1.2,16.01,Pix,3,4
7049600,Uber Select,2023-09-27T03:20:44,3.33,0.9,6.43,Pix,1,1
5066815,Uber Select,2023-08-29T06:20:49,6.06,0.8,8.15,Dinheiro,1,
7249621,UberX,2023-01-10T22:12:35,8.14,1.0,13.28,Pix,2,4
1537425,Uber Moto,2023-11-07T14:32:45,27.18,1.0,45.04,Dinheiro,3,1
8433827,Uber Moto,2023-04-06T03:01:04,29.29,1.0,49.54,Pix,2,
2928657,Uber Select,2023-09-27T00:15:51,25.42,0.9,35.19,Cartão,4,4
5364347,Uber Moto,2023-06-18T21:30:23,2.46,1.6,9.81,Cartão,4,5
8169019,UberX,2023-03-29T09:01:51,2.84,1.2,7.34,Dinheiro,2,3
8337307,Uber Flash,2023-06-02T12:35:31,21.88,0.9,31.61,Cartão,5,5
4642749,UberX,2023-11-13T16:06:45,16.99,0.9,25.81,Dinheiro,4,3
4268160,UberX,2023-06-22T23:01:33,9.56,1.0,16.36,Dinheiro,4,4
2901583,Uber Flash,2023-02-21T02:22:20,6.86,1.0,12.33,Cartão,4,1
4219119,Uber Flash,2023-10-20T19:58:24,14.99,1.3,33.75,Dinheiro,,2
3803200,Uber Comfort,2023-11-06T23:13:47,28.36,0.9,37.1,Cartão,,5
8564022,Uber Select,2023-12-20T09:31:36,25.83,1.2,46.4,Dinheiro,3,5
3275339,Uber Select,2023-06-12T18:36:51,5.73,1.8,17.5,Dinheiro,,5
8690512,Uber Select,2023-06-23T11:22:23,16.9,1.0,29.13,Dinheiro,4,4
9600912,UberX,2023-03-31T02:19:14,23.02,1.1,42.78,Dinheiro,5,4
4761862,UberX,2023-12-19T06:12:01,29.89,1.0,43.75,Pix,5,3
4235042,Uber Comfort,2023-05-12T12:12:31,1.87,0.9,4.65,Cartão,1,4
9271176,Uber Comfort,2023-12-17T20:20:55,6.35,1.8,20.77,Dinheiro,1,1
8682854,Uber Moto,2023-04-30T17:47:50,27.77,1.3,60.08,Pix,2,5
9299334,Uber Comfort,2023-08-14T12:57:13,15.54,1.0,26.01,Pix,3,1
4940696,Uber Flash,2023-10-23T01:30:18,27.89,1.2,47.62,Cartão,,4
2327555,UberX,2023-04-12T22:29:02,18.45,0.8,22.69,Cartão,5,1
3851999,UberX,2023-10-02T23:56:40,9.98,0.9,13.8,Pix,3,
1640544,Uber Flash,2023-06-16T23:04:42,3.53,1.1,8.17,Pix,,2
3692828,UberX,2023-09-08T07:45:25,4.92,2.3,19.84,Pix,3,5
7568331,Uber Select,2023-10-02T23:42:43,27.83,1.0,44.21,Cartão,,4
2409633,Uber Flash,2023-01-30T17:02:53,10.79,1.6,28.98,Pix,3,3
9631897,Uber Flash,2023-03-10T13:24:30,15.92,1.0,25.74,Cartão,3,4
9223111,UberX,2023-11-27T18:21:56,23.15,2.2,74.89,Pix,2,
4808884,Uber Flash,2023-03-10T08:14:48,27.36,1.9,82.88,Pix,1,1
3338220,UberX,2023-01-01T10:48:02,18.83,1.7,49.7,Cartão,5,1
8777155,UberX,2023-02-11T09:06:38,29.99,1.4,70.03,Cartão,1,4
5794822,Uber Moto,2023-12-22T06:33:56,17.08,1.1,28.44,Dinheiro,4,2
7495640,Uber Select,2023-12-09T19:46:32,16.23,2.3,64.36,Pix,,1
5500152,Uber Moto,2023-11-12T09:57:01,17.94,2.1,58.99,Pix,1,3
6672621,Uber Moto,2023-02-04T05:13:46,24.3,1.9,74.65,Pix,4,3
9351999,Uber Flash,2023-09-23T09:55:31,21.82,1.3,45.25,Dinheiro,,1
2498523,Uber Select,2023-03-21T13:57:26,13.13,1.0,23.86,Cartão,2,2
9433484,Uber Select,2023-05-11T10:19:22,26.0,1.0,41.85,Dinheiro,5,
8559287,Uber Comfort,2023-03-25T02:32:11,26.71,1.9,87.07,Cartão,,2
2618298,Uber Comfort,2023-03-22T07:06:43,22.16,1.6,53.58,Dinheiro,3,2
6918797,Uber Select,2023-07-17T13:10:13,21.33,1.1,36.8,Dinheiro,5,4
